"","palabra","n"
"3021","13937",1
"3022","14018",1
"3023","14078s",1
"3024","14088",1
"3025","14098",1
"3026","140m",1
"3027","14116s",1
"3028","14119",1
"3029","14149s",1
"3030","14170s",1
"3031","14205s",1
"3032","14234",1
"3033","14252",1
"3034","14252s",1
"3035","14273s",1
"3036","14275",1
"3037","143.23",1
"3038","14308",1
"3039","14359s",1
"3040","1444",1
"3041","14440s",1
"3042","14469",1
"3043","144m2",1
"3044","14532",1
"3045","14585s",1
"3046","145mt2",1
"3047","146",1
"3048","14601",1
"3049","14669",1
"3050","14677s",1
"3051","147",1
"3052","14714",1
"3053","14725",1
"3054","14731s",1
"3055","14734s",1
"3056","14735",1
"3057","1475",1
"3058","14768",1
"3059","14798",1
"3060","147m2",1
"3061","148",1
"3062","14810s",1
"3063","14816",1
"3064","14875",1
"3065","1488",1
"3066","14885",1
"3067","14947",1
"3068","14960s",1
"3069","1498",1
"3070","14982",1
"3071","149m2",1
"3072","1500",1
"3073","15006",1
"3074","15007",1
"3075","15025",1
"3076","15035",1
"3077","15047yf",1
"3078","15048",1
"3079","15056",1
"3080","15057s",1
"3081","15097",1
"3082","151",1
"3083","15108",1
"3084","15111",1
"3085","1512",1
"3086","15120",1
"3087","15123",1
"3088","15135",1
"3089","15243",1
"3090","15276",1
"3091","15279",1
"3092","15288",1
"3093","152m2",1
"3094","15309",1
"3095","15339",1
"3096","1536",1
"3097","15377",1
"3098","153mts2",1
"3099","154.05",1
"3100","155",1
"3101","15540",1
"3102","15639",1
"3103","15641",1
"3104","15646",1
"3105","157",1
"3106","15752",1
"3107","158011or",1
"3108","158018kr",1
"3109","15802",1
"3110","158029",1
"3111","158038rt",1
"3112","158042mes",1
"3113","158084nr",1
"3114","158118rt",1
"3115","158127mes",1
"3116","158364",1
"3117","15898",1
"3118","159",1
"3119","15911",1
"3120","15973",1
"3121","15981",1
"3122","15mts2",1
"3123","16010",1
"3124","16014",1
"3125","16055",1
"3126","160m",1
"3127","16144",1
"3128","16149",1
"3129","162",1
"3130","16212",1
"3131","16213",1
"3132","1627",1
"3133","16326",1
"3134","16385",1
"3135","16428",1
"3136","16450",1
"3137","164m2",1
"3138","165",1
"3139","16560",1
"3140","1657",1
"3141","16571",1
"3142","16595",1
"3143","16616",1
"3144","1663",1
"3145","16647",1
"3146","16672",1
"3147","16723",1
"3148","16725",1
"3149","16853alquiler",1
"3150","16879",1
"3151","1690",1
"3152","16919",1
"3153","16920",1
"3154","16923",1
"3155","16949",1
"3156","16985",1
"3157","169m2",1
"3158","17008",1
"3159","170m",1
"3160","17134",1
"3161","17174",1
"3162","17207",1
"3163","17212",1
"3164","17227",1
"3165","17248",1
"3166","17276",1
"3167","172m2",1
"3168","17335",1
"3169","17369s",1
"3170","173m2",1
"3171","174",1
"3172","17403s",1
"3173","17433",1
"3174","17444",1
"3175","17447",1
"3176","17457s",1
"3177","17459s",1
"3178","1746",1
"3179","17479s",1
"3180","17482",1
"3181","17482s",1
"3182","17493s",1
"3183","17497",1
"3184","17508",1
"3185","17508s",1
"3186","17537",1
"3187","17538",1
"3188","17545",1
"3189","17578",1
"3190","17585",1
"3191","176",1
"3192","17612",1
"3193","17615",1
"3194","17626",1
"3195","17635",1
"3196","17643",1
"3197","17689s",1
"3198","176m",1
"3199","1771",1
"3200","17715",1
"3201","17716",1
"3202","1773",1
"3203","17736",1
"3204","1775",1
"3205","17762",1
"3206","1796",1
"3207","17999",1
"3208","179m",1
"3209","1800",1
"3210","18047",1
"3211","18060",1
"3212","18077",1
"3213","180m",1
"3214","18105",1
"3215","18133",1
"3216","18224",1
"3217","18320",1
"3218","1833",1
"3219","18333",1
"3220","18433",1
"3221","18461",1
"3222","18512",1
"3223","18545",1
"3224","18553",1
"3225","18567",1
"3226","18570",1
"3227","18580",1
"3228","18582",1
"3229","18584",1
"3230","18590",1
"3231","186",1
"3232","1863",1
"3233","1867",1
"3234","186m2",1
"3235","18800",1
"3236","188m",1
"3237","190",1
"3238","19002",1
"3239","190m2",1
"3240","191",1
"3241","192",1
"3242","192m2",1
"3243","19537",1
"3244","1985",1
"3245","198m",1
"3246","198m2",1
"3247","19917",1
"3248","1999",1
"3249","1av",1
"3250","1baño",1
"3251","1estac",1
"3252","1h1,5b",1
"3253","1h1.5b2p",1
"3254","1h21p",1
"3255","1habitacion",1
"3256","1maletero",1
"3257","1mes",1
"3258","2.200",1
"3259","2.300",1
"3260","200mts",1
"3261","2014",1
"3262","2017",1
"3263","2020",1
"3264","20373",1
"3265","203m2",1
"3266","204",1
"3267","20429",1
"3268","20471",1
"3269","2058",1
"3270","205m2",1
"3271","206m",1
"3272","206m2",1
"3273","207",1
"3274","20773",1
"3275","2084",1
"3276","20853",1
"3277","208m2",1
"3278","209",1
"3279","209m2",1
"3280","20m2",1
"3281","21",1
"3282","2109",1
"3283","210m2",1
"3284","21193",1
"3285","214m2",1
"3286","216",1
"3287","21655",1
"3288","21889",1
"3289","219",1
"3290","2191",1
"3291","2193",1
"3292","219m2",1
"3293","220m",1
"3294","222.50m2",1
"3295","22242",1
"3296","223m2",1
"3297","2253",1
"3298","225m",1
"3299","22709",1
"3300","2272",1
"3301","2287",1
"3302","229m2",1
"3303","23028",1
"3304","23088",1
"3305","2309",1
"3306","2316",1
"3307","232m2",1
"3308","2340",1
"3309","23639",1
"3310","240mts",1
"3311","24180",1
"3312","24197",1
"3313","241m",1
"3314","24289",1
"3315","243",1
"3316","24419",1
"3317","244m2",1
"3318","2458",1
"3319","2459",1
"3320","245m",1
"3321","246",1
"3322","2478",1
"3323","247m2",1
"3324","248m",1
"3325","2490",1
"3326","24948",1
"3327","24hrs",1
"3328","24x7",1
"3329","25087",1
"3330","2514423",1
"3331","2515",1
"3332","252m2",1
"3333","255m2",1
"3334","260",1
"3335","2608",1
"3336","261",1
"3337","2610839",1
"3338","261094",1
"3339","2611154",1
"3340","2611802",1
"3341","2611808",1
"3342","2612042",1
"3343","2612800",1
"3344","2613366",1
"3345","2614395",1
"3346","2614731",1
"3347","2614810",1
"3348","2614818",1
"3349","2614971",1
"3350","261562",1
"3351","2615621",1
"3352","2615661",1
"3353","2615696",1
"3354","2615907",1
"3355","2616026",1
"3356","2616071",1
"3357","2616164",1
"3358","2616165",1
"3359","2616202",1
"3360","261623",1
"3361","2616238",1
"3362","2616239",1
"3363","2616244",1
"3364","2616391",1
"3365","2616418",1
"3366","2616560",1
"3367","2616585",1
"3368","2616745",1
"3369","2616811",1
"3370","2616957",1
"3371","2617026",1
"3372","2617052",1
"3373","2617079",1
"3374","2617095",1
"3375","2617098",1
"3376","2617149",1
"3377","261719",1
"3378","2617208",1
"3379","2617217",1
"3380","2617238",1
"3381","2617244",1
"3382","2617302",1
"3383","2617307",1
"3384","2617334",1
"3385","2617357",1
"3386","2617359",1
"3387","2617457",1
"3388","2617459",1
"3389","2617682",1
"3390","2617687",1
"3391","2617760",1
"3392","2617763",1
"3393","2617777",1
"3394","2617785",1
"3395","2617791",1
"3396","2617811",1
"3397","2617839",1
"3398","2617864",1
"3399","2618025",1
"3400","2618126",1
"3401","2618170",1
"3402","2618223",1
"3403","2618316",1
"3404","2618483",1
"3405","262782",1
"3406","2635",1
"3407","264",1
"3408","2648",1
"3409","265",1
"3410","265064",1
"3411","266997",1
"3412","267816",1
"3413","2691",1
"3414","2692",1
"3415","269611",1
"3416","270",1
"3417","270m",1
"3418","2714",1
"3419","2717",1
"3420","2724",1
"3421","272m2",1
"3422","275",1
"3423","276.50mts2",1
"3424","2774",1
"3425","278",1
"3426","2782s",1
"3427","2784",1
"3428","2789",1
"3429","278mtrs",1
"3430","28",1
"3431","280",1
"3432","2806",1
"3433","2820",1
"3434","2829",1
"3435","282m2",1
"3436","2859",1
"3437","285m2",1
"3438","286m2",1
"3439","287139",1
"3440","2896",1
"3441","28971",1
"3442","290",1
"3443","2910",1
"3444","2922",1
"3445","2958",1
"3446","297m2",1
"3447","2999",1
"3448","2ba",1
"3449","2baño",1
"3450","2da",1
"3451","2h1b1p",1
"3452","2h2b1p",1
"3453","2h2b2p",1
"3454","2habitaciones",1
"3455","2m",1
"3456","2pt",1
"3457","2puestos",1
"3458","3.250",1
"3459","3.500",1
"3460","3.800",1
"3461","3062",1
"3462","309",1
"3463","312m2",1
"3464","3130",1
"3465","3134",1
"3466","3139",1
"3467","315",1
"3468","3164",1
"3469","3177",1
"3470","31790",1
"3471","318mts2",1
"3472","3190",1
"3473","3192",1
"3474","3199",1
"3475","32056",1
"3476","320m2",1
"3477","3214",1
"3478","323947",1
"3479","324m2",1
"3480","3251",1
"3481","3252",1
"3482","325m2",1
"3483","327m2",1
"3484","3285",1
"3485","3290",1
"3486","3298",1
"3487","332m2",1
"3488","3334",1
"3489","335m2",1
"3490","3396",1
"3491","345m2",1
"3492","346",1
"3493","3496",1
"3494","3497",1
"3495","350",1
"3496","3507",1
"3497","352",1
"3498","3523",1
"3499","3526",1
"3500","355",1
"3501","360m",1
"3502","3618",1
"3503","3625",1
"3504","3632",1
"3505","365m2",1
"3506","3699",1
"3507","3761",1
"3508","3771",1
"3509","3801",1
"3510","380m2",1
"3511","381,76mt2,5h",1
"3512","3824",1
"3513","383.55m2",1
"3514","385",1
"3515","3865",1
"3516","3868",1
"3517","38m2",1
"3518","39",1
"3519","390",1
"3520","3917",1
"3521","397m2",1
"3522","3baños",1
"3523","3era",1
"3524","3g",1
"3525","3h2b1p",1
"3526","3h3b2p",1
"3527","3ha",1
"3528","3m2",1
"3529","400m",1
"3530","400m2",1
"3531","4037",1
"3532","4043",1
"3533","4068",1
"3534","4096",1
"3535","4100",1
"3536","4105",1
"3537","4109",1
"3538","4185",1
"3539","42",1
"3540","4200",1
"3541","420m",1
"3542","4243",1
"3543","424m2",1
"3544","4258",1
"3545","42m2",1
"3546","42mts",1
"3547","432",1
"3548","4326",1
"3549","4337",1
"3550","4367",1
"3551","4381",1
"3552","4389",1
"3553","4392",1
"3554","4430",1
"3555","447m2",1
"3556","4497",1
"3557","4506",1
"3558","450m2",1
"3559","4533",1
"3560","4543",1
"3561","4547",1
"3562","4591",1
"3563","4650",1
"3564","4692",1
"3565","46m2",1
"3566","46mt2",1
"3567","4717",1
"3568","4745",1
"3569","4759",1
"3570","4781",1
"3571","4786",1
"3572","48",1
"3573","4804",1
"3574","4824",1
"3575","4847",1
"3576","485m2",1
"3577","4875",1
"3578","4880",1
"3579","4886",1
"3580","490",1
"3581","49m2",1
"3582","4m2",1
"3583","4ta",1
"3584","5.000",1
"3585","50,26",1
"3586","5013",1
"3587","5035",1
"3588","5055",1
"3589","5107",1
"3590","5115",1
"3591","5158",1
"3592","5201",1
"3593","520m2",1
"3594","5313",1
"3595","5353",1
"3596","5365",1
"3597","5499",1
"3598","55.08",1
"3599","55.50m2",1
"3600","5500",1
"3601","55m",1
"3602","56m",1
"3603","56mts2",1
"3604","5733",1
"3605","5799",1
"3606","5884",1
"3607","5886",1
"3608","59",1
"3609","5917",1
"3610","5953",1
"3611","59m2",1
"3612","60",1
"3613","60,5",1
"3614","60.39m2",1
"3615","600,00",1
"3616","6004",1
"3617","6005",1
"3618","600m2",1
"3619","6020",1
"3620","6023",1
"3621","6044",1
"3622","6071",1
"3623","6088",1
"3624","60mts",1
"3625","61",1
"3626","6116",1
"3627","6145",1
"3628","6165",1
"3629","61m2",1
"3630","6223",1
"3631","6245",1
"3632","6269",1
"3633","6312",1
"3634","6322",1
"3635","633",1
"3636","6364",1
"3637","64,58",1
"3638","64,58m2",1
"3639","642",1
"3640","6437",1
"3641","6461",1
"3642","6473",1
"3643","6475",1
"3644","6479",1
"3645","6505",1
"3646","650m2",1
"3647","6522",1
"3648","6573",1
"3649","6577",1
"3650","6587",1
"3651","65mts",1
"3652","66.14m2",1
"3653","6614",1
"3654","6647",1
"3655","67,68",1
"3656","670mt2",1
"3657","6736",1
"3658","6765",1
"3659","6767",1
"3660","6775",1
"3661","6777",1
"3662","68",1
"3663","6802",1
"3664","6823",1
"3665","68mts",1
"3666","6931",1
"3667","6936",1
"3668","70,83",1
"3669","7021",1
"3670","705",1
"3671","7052",1
"3672","707m",1
"3673","7111",1
"3674","7118",1
"3675","7130",1
"3676","7206",1
"3677","7224",1
"3678","7236",1
"3679","7241",1
"3680","7287",1
"3681","73",1
"3682","730",1
"3683","733",1
"3684","7357",1
"3685","738",1
"3686","7382",1
"3687","7389",1
"3688","74,77",1
"3689","74,86",1
"3690","7439",1
"3691","7446",1
"3692","747",1
"3693","7474",1
"3694","7482",1
"3695","74mts",1
"3696","75,54",1
"3697","7503",1
"3698","750m2",1
"3699","7518",1
"3700","7531",1
"3701","7538",1
"3702","7593",1
"3703","76",1
"3704","7619",1
"3705","7666",1
"3706","76m2",1
"3707","770",1
"3708","7731",1
"3709","7784",1
"3710","77m",1
"3711","780s",1
"3712","7839",1
"3713","7860",1
"3714","7889",1
"3715","78mts",1
"3716","7907",1
"3717","7934",1
"3718","7940",1
"3719","7943",1
"3720","7965",1
"3721","7ma",1
"3722","800.00",1
"3723","8030",1
"3724","8062",1
"3725","8071",1
"3726","8084",1
"3727","80mt2",1
"3728","80mts",1
"3729","8105",1
"3730","8182",1
"3731","82",1
"3732","8222",1
"3733","8327",1
"3734","8358",1
"3735","8369",1
"3736","83m2",1
"3737","8453",1
"3738","84mts2",1
"3739","850",1
"3740","850,00",1
"3741","8511",1
"3742","8524",1
"3743","8540",1
"3744","8553",1
"3745","8608",1
"3746","8614",1
"3747","8635",1
"3748","8637",1
"3749","8657",1
"3750","8676",1
"3751","86m2",1
"3752","8716",1
"3753","8730",1
"3754","8749",1
"3755","8758",1
"3756","87m",1
"3757","8831",1
"3758","8846",1
"3759","8852",1
"3760","8868",1
"3761","8877",1
"3762","8882",1
"3763","8892",1
"3764","88m2",1
"3765","89.55m2",1
"3766","89.5m2",1
"3767","8923",1
"3768","8955",1
"3769","8970",1
"3770","900.00",1
"3771","9051",1
"3772","9074",1
"3773","9088",1
"3774","90m",1
"3775","9113",1
"3776","9122",1
"3777","9148",1
"3778","9156",1
"3779","9170",1
"3780","9174",1
"3781","9183",1
"3782","9188",1
"3783","9212",1
"3784","9243",1
"3785","9246",1
"3786","9257",1
"3787","9272",1
"3788","9346",1
"3789","9368",1
"3790","9372",1
"3791","9378",1
"3792","93m2",1
"3793","94",1
"3794","9455",1
"3795","9476",1
"3796","9482",1
"3797","9492",1
"3798","9542",1
"3799","9558",1
"3800","9662",1
"3801","9674",1
"3802","9689",1
"3803","97",1
"3804","9706",1
"3805","9718",1
"3806","9780",1
"3807","9820",1
"3808","9824",1
"3809","9838",1
"3810","9839",1
"3811","9881",1
"3812","98m",1
"3813","9971",1
"3814","99m",1
"3815","99m2",1
"3816","9m2",1
"3817","abella2610338",1
"3818","abella268928",1
"3819","abierta",1
"3820","abtenerse",1
"3821","abundante",1
"3822","accesibilidad",1
"3823","acevedo",1
"3824","acropolis",1
"3825","actividad",1
"3826","actual",1
"3827","actualizados",1
"3828","actuallizado",1
"3829","adelantado",1
"3830","adelantados",1
"3831","ademas",1
"3832","adicional",1
"3833","adicionales",1
"3834","admin",1
"3835","agradables",1
"3836","ah",1
"3837","airbnb",1
"3838","alama",1
"3839","alaquiler",1
"3840","alatamira",1
"3841","alavarez",1
"3842","alejada",1
"3843","alejarse",1
"3844","alequiler",1
"3845","aliento",1
"3846","alojamiento",1
"3847","alquiiler",1
"3848","alquilado",1
"3849","alquilan",1
"3850","alquilaras",1
"3851","alquiler.anexo.horizonte",1
"3852","alquiler.apartamento",1
"3853","alquiler.apartamento.la",1
"3854","alquiler.colinas",1
"3855","alquilercon",1
"3856","alquilere",1
"3857","alquileres",1
"3858","alquilermontalban",1
"3859","alquilo.apto",1
"3860","alquuiler",1
"3861","altamente",1
"3862","altami",1
"3863","altozano",1
"3864","amangani",1
"3865","amantes",1
"3866","amblado",1
"3867","amblio",1
"3868","americ",1
"3869","ammoblado",1
"3870","amobaldo",1
"3871","amobla",1
"3872","américas",1
"3873","an",1
"3874","angela",1
"3875","anual",1
"3876","ao",1
"3877","aoto",1
"3878","aparcamiento",1
"3879","apartaemnto",1
"3880","apartaestudio",1
"3881","apartahotel",1
"3882","apartajmento",1
"3883","apartamemto",1
"3884","apartamen",1
"3885","apartament",1
"3886","apartamento.los",1
"3887","apartamentoenalquiler",1
"3888","apartamentoi",1
"3889","apartameto",1
"3890","apartamwnto",1
"3891","apartatamento",1
"3892","apartemento",1
"3893","apartment",1
"3894","apartosuite",1
"3895","aparttamento",1
"3896","appartamento",1
"3897","aprovechar",1
"3898","aprtamento",1
"3899","apto.remodelado",1
"3900","apártame",1
"3901","aqluilo",1
"3902","arcia",1
"3903","areasa",1
"3904","armonía.vigilancia",1
"3905","arq",1
"3906","arquitecto",1
"3907","arte",1
"3908","artigas",1
"3909","atm",1
"3910","atmósfera",1
"3911","aurea",1
"3912","autopista",1
"3913","auxiliar.calle",1
"3914","avda",1
"3915","avila.caracas",1
"3916","avila.edificio",1
"3917","avila.sal",1
"3918","aym",1
"3919","az",1
"3920","azucena",1
"3921","b2",1
"3922","b4",1
"3923","baa",1
"3924","bano",1
"3925","bar",1
"3926","barato",1
"3927","baruta.ym",1
"3928","baós",1
"3929","bbq",1
"3930","bcg",1
"3931","bcgc",1
"3932","belllo",1
"3933","belloo",1
"3934","bellooo",1
"3935","bellos",1
"3936","bellísima",1
"3937","bgc",1
"3938","bienes",1
"3939","bienestar",1
"3940","bienvenidos",1
"3941","binito",1
"3942","blancas",1
"3943","bombona",1
"3944","bpd",1
"3945","brindan",1
"3946","britanica",1
"3947","británica",1
"3948","bsoque",1
"3949","bteancourt",1
"3950","bullicio",1
"3951","buscando",1
"3952","bv",1
"3953","ca",1
"3954","caballero",1
"3955","cafetal26",1
"3956","cafés",1
"3957","caicaguana",1
"3958","calentador",1
"3959","calido",1
"3960","califonia",1
"3961","camina",1
"3962","caminios",1
"3963","campana",1
"3964","campera",1
"3965","can",1
"3966","cancha",1
"3967","caney",1
"3968","cano",1
"3969","canon:ref",1
"3970","canto",1
"3971","capiña",1
"3972","captador",1
"3973","caraca",1
"3974","caracas.edificio",1
"3975","caracter",1
"3976","caroni",1
"3977","carrillo",1
"3978","casalta",1
"3979","casas",1
"3980","castellana.caracas",1
"3981","castellanaa",1
"3982","castellanade",1
"3983","catedral",1
"3984","catia",1
"3985","cañada",1
"3986","cer",1
"3987","cercana",1
"3988","cercanias",1
"3989","cero",1
"3990","chacao.mfm",1
"3991","chacao___",1
"3992","chaconn",1
"3993","chaguaramo",1
"3994","charrallavito",1
"3995","chorro",1
"3996","chr",1
"3997","chs",1
"3998","chula",1
"3999","chulavita",1
"4000","churuata",1
"4001","cicpc",1
"4002","cinco",1
"4003","circunvalación",1
"4004","clase",1
"4005","classic",1
"4006","clinicas",1
"4007","cmd",1
"4008","cmdlt",1
"4009","cobos",1
"4010","coche",1
"4011","cocmedor",1
"4012","codg",1
"4013","coina",1
"4014","col",1
"4015","colegas",1
"4016","colinass",1
"4017","colnas",1
"4018","combinan",1
"4019","comercial.consta",1
"4020","comfort",1
"4021","comision",1
"4022","comodiades",1
"4023","comparten",1
"4024","compartir",1
"4025","completas",1
"4026","complicaciones",1
"4027","compre",1
"4028","comu",1
"4029","comunícate",1
"4030","común",1
"4031","concresa",1
"4032","conformado",1
"4033","confort.apartamento",1
"4034","conocerlo",1
"4035","constantemente",1
"4036","construcción",1
"4037","construido",1
"4038","consulados",1
"4039","consultario",1
"4040","contacto_inmobiliario_",1
"4041","contempo",1
"4042","contemporánea",1
"4043","continua",1
"4044","contratos",1
"4045","controlado",1
"4046","convertible",1
"4047","corazón.comodidad",1
"4048","corporativa",1
"4049","corta",1
"4050","cosa",1
"4051","costo",1
"4052","cota",1
"4053","cotactame",1
"4054","cp",1
"4055","csalad",1
"4056","cualquier",1
"4057","cubierta",1
"4058","cuesta",1
"4059","cuidad",1
"4060","cultural",1
"4061","cy",1
"4062","cálido",1
"4063","cómodas",1
"4064","d48",1
"4065","debello",1
"4066","dejara",1
"4067","deliciosa",1
"4068","dell",1
"4069","demandadas",1
"4070","demandades",1
"4071","dependencias",1
"4072","depósito",1
"4073","desarrolle",1
"4074","desconexión",1
"4075","descripción",1
"4076","deseadas",1
"4077","deseas",1
"4078","despachos",1
"4079","despierta",1
"4080","después",1
"4081","destechada",1
"4082","detras",1
"4083","detrás",1
"4084","dfarlys",1
"4085","dg",1
"4086","diagonal",1
"4087","dias",1
"4088","diplomatica",1
"4089","diplomaticos",1
"4090","diplomática",1
"4091","diplomáticos.colinas",1
"4092","direccto",1
"4093","directa",1
"4094","directivos",1
"4095","directomt",1
"4096","dirtecto",1
"4097","diseado",1
"4098","disfrita",1
"4099","disfrutat",1
"4100","disfrutde",1
"4101","disp",1
"4102","dispone",1
"4103","disponibles",1
"4104","distribuciòn",1
"4105","divina",1
"4106","doctor",1
"4107","domotica",1
"4108","doravila",1
"4109","dt",1
"4110","dtto",1
"4111","dual",1
"4112","duna",1
"4113","dz",1
"4114","días",1
"4115","dùplex",1
"4116","e1",1
"4117","eacampadero",1
"4118","eclusivo",1
"4119","económico",1
"4120","ecosistema",1
"4121","edific",1
"4122","edificación",1
"4123","edifico",1
"4124","ee.uu",1
"4125","een",1
"4126","elegant",1
"4127","eleh",1
"4128","elevan",1
"4129","elp",1
"4130","emi",1
"4131","eminence",1
"4132","en.alquiler",1
"4133","encantará",1
"4134","enchacao",1
"4135","encolinas",1
"4136","encontrar",1
"4137","encuentran",1
"4138","encuentras",1
"4139","ene",1
"4140","energía",1
"4141","enh",1
"4142","ensanta",1
"4143","epic",1
"4144","eq",1
"4145","equioado",1
"4146","equipad",1
"4147","equipado.amplias",1
"4148","equipado:terraza",1
"4149","equipadoalto",1
"4150","equipadomls",1
"4151","equipo",1
"4152","equipos",1
"4153","equipped",1
"4154","er",1
"4155","ermoso",1
"4156","esaa",1
"4157","escampaderos",1
"4158","escasa",1
"4159","esmeraldad",1
"4160","espaciosa",1
"4161","espectavular",1
"4162","espectcular",1
"4163","espectáculo",1
"4164","espetacular",1
"4165","estacion",1
"4166","estacionamie",1
"4167","estancia",1
"4168","estenar",1
"4169","estratgica",1
"4170","estratégica.transporte",1
"4171","estratégicos",1
"4172","estándar",1
"4173","eurobuilding",1
"4174","ex",1
"4175","excelnte",1
"4176","exclente",1
"4177","exclusia",1
"4178","executive",1
"4179","exelente",1
"4180","exigentes",1
"4181","exlusivo",1
"4182","expansión",1
"4183","expatriados",1
"4184","expectacular",1
"4185","experimenta",1
"4186","extensa",1
"4187","fabulos",1
"4188","fabulosas",1
"4189","facil",1
"4190","familiares",1
"4191","farmacias",1
"4192","farmatodo",1
"4193","favorito",1
"4194","fernanda",1
"4195","ferrequin",1
"4196","final",1
"4197","financiera",1
"4198","fl",1
"4199","flamboyant",1
"4200","fmg",1
"4201","frasco",1
"4202","frescura",1
"4203","fronda",1
"4204","frontal",1
"4205","fully",1
"4206","g.b",1
"4207","gabinetes",1
"4208","gabriel",1
"4209","galaxia",1
"4210","gallego",1
"4211","gama",1
"4212","ganadora",1
"4213","gante",1
"4214","garantiza",1
"4215","garcía",1
"4216","garden",1
"4217","garicia",1
"4218","gastos",1
"4219","gastronomía",1
"4220","geranios",1
"4221","gertudis",1
"4222","gimnasios",1
"4223","gioly",1
"4224","goreki",1
"4225","goza",1
"4226","gra",1
"4227","grandes.yv",1
"4228","grandesira",1
"4229","granjerías",1
"4230","gs",1
"4231","guacamayas",1
"4232","guadalupe",1
"4233","guillermo",1
"4234","gustaria",1
"4235","gustos",1
"4236","habiatciones",1
"4237","habitaion",1
"4238","hagas",1
"4239","hato",1
"4240","haz",1
"4241","hermos",1
"4242","hermosos",1
"4243","hill",1
"4244","histórico",1
"4245","hkg",1
"4246","hogar.lomas",1
"4247","honda",1
"4248","hora",1
"4249","horno",1
"4250","hoteles",1
"4251","hrs",1
"4252","hrs.seguridad",1
"4253","humbold",1
"4254","humbolht",1
"4255","ignacio",1
"4256","ih5",1
"4257","iliminado",1
"4258","ilumidado",1
"4259","iluminaci",1
"4260","iluminación.colinas",1
"4261","iluminadas",1
"4262","iluminoso",1
"4263","impactante",1
"4264","impecables",1
"4265","imponentes",1
"4266","importancia",1
"4267","importante",1
"4268","impresionante",1
"4269","incluye",1
"4270","incomparable",1
"4271","inconveniente",1
"4272","inconvenientes",1
"4273","incuye",1
"4274","india",1
"4275","indigo",1
"4276","infraestructura",1
"4277","inmenso",1
"4278","innovación",1
"4279","inolvidables",1
"4280","inspira",1
"4281","inspiración",1
"4282","inspire",1
"4283","insuperable",1
"4284","integrado",1
"4285","integrados",1
"4286","integral",1
"4287","inversión",1
"4288","io26",1
"4289","irradia",1
"4290","isla",1
"4291","italia",1
"4292","iubicado",1
"4293","ive",1
"4294","iz",1
"4295","jaiquelin",1
"4296","jam",1
"4297","jan",1
"4298","jcc",1
"4299","jcm",1
"4300","jefersson",1
"4301","jerfenson",1
"4302","jlp",1
"4303","josé",1
"4304","joven",1
"4305","jt",1
"4306","junquito",1
"4307","juridiccion",1
"4308","kavac",1
"4309","kitchenett",1
"4310","kl",1
"4311","l.mercedes",1
"4312","la.castellana",1
"4313","lavado",1
"4314","lbb",1
"4315","leandro",1
"4316","leer",1
"4317","lh",1
"4318","li",1
"4319","libni",1
"4320","libre",1
"4321","livita",1
"4322","ljl",1
"4323","lld26544",1
"4324","llega",1
"4325","llegan",1
"4326","llegues",1
"4327","lmaw",1
"4328","lms",1
"4329","logistica",1
"4330","loms",1
"4331","losmas",1
"4332","lprp",1
"4333","lts",1
"4334","lu",1
"4335","lub",1
"4336","luminado",1
"4337","luxe",1
"4338","m02",1
"4339","madrices",1
"4340","magali",1
"4341","magestuoso",1
"4342","maggi",1
"4343","magifico",1
"4344","magina",1
"4345","malabares",1
"4346","maltero",1
"4347","mam",1
"4348","mangos",1
"4349","mano",1
"4350","manzano",1
"4351","maravillas",1
"4352","maravillosas",1
"4353","maraviloso",1
"4354","marfil",1
"4355","margot",1
"4356","mariperez",1
"4357","maripérez",1
"4358","marlon",1
"4359","marta",1
"4360","martín",1
"4361","maximiza",1
"4362","mayor",1
"4363","mch",1
"4364","mecedores",1
"4365","medico",1
"4366","medirien3",1
"4367","megv",1
"4368","mei",1
"4369","menos",1
"4370","mensualidad",1
"4371","mercado",1
"4372","mercancía",1
"4373","merceces",1
"4374","mercerdes",1
"4375","merlot",1
"4376","meseta",1
"4377","metraje",1
"4378","metrobús",1
"4379","metropolitan",1
"4380","metros2",1
"4381","mfl2612590",1
"4382","mfl2612661",1
"4383","mfl2615179",1
"4384","mfl2615696",1
"4385","mfl2617026",1
"4386","mgg",1
"4387","mgr",1
"4388","mh",1
"4389","milthonhouse53",1
"4390","minimalistico",1
"4391","mirar",1
"4392","modelo",1
"4393","modernizada",1
"4394","momentos",1
"4395","montalbàn",1
"4396","montañoso",1
"4397","moro",1
"4398","move",1
"4399","mprp",1
"4400","msx5",1
"4401","muchomás",1
"4402","multiniveles",1
"4403","muralla",1
"4404","mv2615179",1
"4405","mv2616583",1
"4406","mvg",1
"4407","my",1
"4408","márques",1
"4409","márquez",1
"4410","mònica",1
"4411","múdate",1
"4412","narajos",1
"4413","naranjoss",1
"4414","necesita",1
"4415","necesite",1
"4416","negociablw",1
"4417","negociación",1
"4418","negociemos",1
"4419","ngrp",1
"4420","ninguno",1
"4421","njos",1
"4422","noir",1
"4423","noreste",1
"4424","norten",1
"4425","np25",1
"4426","ob023",1
"4427","oeste",1
"4428","oferta",1
"4429","ong",1
"4430","oo",1
"4431","opcion",1
"4432","operativa",1
"4433","oportuinidad",1
"4434","optimizada",1
"4435","original",1
"4436","oro",1
"4437","p.alta",1
"4438","p.b",1
"4439","paez",1
"4440","palace",1
